1:mode 2:adds 3:removes 4:delays 5:barriers 6:executions 7:time
Counting 5 5 4 0 223625 16.41
Counting 5 5 4 1 223625 19.5
Counting 5 5 4 2 223625 21.96
Counting 5 5 4 3 223625 24.64
Counting 5 5 4 4 223625 25.77
Counting 5 5 4 5 223625 25.53
Counting 5 5 4 6 223625 24.13
Counting 5 5 4 7 223625 22.63
Counting 5 5 4 8 223625 75.81
Counting 5 5 4 9 223625 24.92
Counting 5 5 4 10 223625 25.66
Counting 5 5 4 11 223625 27.81
Counting 5 5 4 12 223625 30.34
Counting 5 5 4 13 223625 32.49
Counting 5 5 4 14 223625 34.55
Counting 5 5 4 15 223625 70.34
Counting 5 5 4 16 223625 75.66
Counting 5 5 4 17 223625 77.03
Counting 5 5 4 18 223625 44.01
Counting 5 5 4 19 223625 46.29
Counting 5 5 4 20 223625 47.72
