1:mode 2:adds 3:removes 4:delays 5:barriers 6:executions 7:time 8:seq_histories 9:seq_time 10:avg_lins 11:max_lins
Unmonitored 1 1 3 - 94 0 - - - -
Counting 1 1 3 2 94 0 - - - -
Linearization_no_atomic 1 1 3 - 94 0 - - 1 2
Unmonitored 1 2 3 - 350 0.01 - - - -
Counting 1 2 3 2 350 0.01 - - - -
Linearization_no_atomic 1 2 3 - 350 0.03 - - 3 6
Unmonitored 1 3 3 - 842 0.02 - - - -
Counting 1 3 3 2 842 0.02 - - - -
Linearization_no_atomic 1 3 3 - 842 0.13 - - 6 24
Unmonitored 1 4 3 - 1570 0.03 - - - -
Counting 1 4 3 2 1570 0.04 - - - -
Linearization_no_atomic 1 4 3 - 1570 0.43 - - 11 60
Unmonitored 1 5 3 - 2626 0.07 - - - -
Counting 1 5 3 2 2626 0.18 - - - -
Linearization_no_atomic 1 5 3 - 2626 1.32 - - 18 120
Unmonitored 1 6 3 - 4074 0.12 - - - -
Counting 1 6 3 2 4074 0.16 - - - -
Linearization_no_atomic 1 6 3 - 4074 3.72 - - 26 210
Unmonitored 1 7 3 - 5978 0.18 - - - -
Counting 1 7 3 2 5978 0.25 - - - -
Linearization_no_atomic 1 7 3 - 5978 8.14 - - 38 336
Unmonitored 1 8 3 - 8402 0.99 - - - -
Counting 1 8 3 2 8402 1.32 - - - -
Linearization_no_atomic 1 8 3 - 8402 16.14 - - 52 504
Unmonitored 1 9 3 - 11410 0.4 - - - -
Counting 1 9 3 2 11410 3.24 - - - -
Linearization_no_atomic 1 9 3 - 11410 34.74 - - 69 720
Unmonitored 1 10 3 - 15066 0.61 - - - -
Counting 1 10 3 2 15066 0.85 - - - -
Linearization_no_atomic 1 10 3 - 15066 65 - - 89 990
Unmonitored 2 1 3 - 456 0.01 - - - -
Counting 2 1 3 2 456 0.01 - - - -
Linearization_no_atomic 2 1 3 - 456 0.04 - - 3 6
Unmonitored 2 2 3 - 988 0.02 - - - -
Counting 2 2 3 2 988 0.02 - - - -
Linearization_no_atomic 2 2 3 - 988 0.16 - - 7 24
Unmonitored 2 3 3 - 1896 0.04 - - - -
Counting 2 3 3 2 1896 0.05 - - - -
Linearization_no_atomic 2 3 3 - 1896 0.56 - - 11 60
Unmonitored 2 4 3 - 3140 0.09 - - - -
Counting 2 4 3 2 3140 0.11 - - - -
Linearization_no_atomic 2 4 3 - 3140 1.66 - - 18 120
Unmonitored 2 5 3 - 4764 0.14 - - - -
Counting 2 5 3 2 4764 0.18 - - - -
Linearization_no_atomic 2 5 3 - 4764 4.1 - - 27 210
Unmonitored 2 6 3 - 6860 0.22 - - - -
Counting 2 6 3 2 6860 0.3 - - - -
Linearization_no_atomic 2 6 3 - 6860 9.21 - - 39 336
Unmonitored 2 7 3 - 9492 0.33 - - - -
Counting 2 7 3 2 9492 0.48 - - - -
Linearization_no_atomic 2 7 3 - 9492 19.69 - - 54 504
Unmonitored 2 8 3 - 12724 0.47 - - - -
Counting 2 8 3 2 12724 0.72 - - - -
Linearization_no_atomic 2 8 3 - 12724 40.58 - - 72 720
Unmonitored 2 9 3 - 16620 0.68 - - - -
Counting 2 9 3 2 16620 1.01 - - - -
Linearization_no_atomic 2 9 3 - 16620 71.51 - - 94 990
Unmonitored 2 10 3 - 21244 2.12 - - - -
Counting 2 10 3 2 21244 1.43 - - - -
Linearization_no_atomic 2 10 3 - 21244 128.81 - - 120 1320
Unmonitored 3 1 3 - 1218 0.03 - - - -
Counting 3 1 3 2 1218 0.03 - - - -
Linearization_no_atomic 3 1 3 - 1218 0.21 - - 7 24
Unmonitored 3 2 3 - 2160 0.05 - - - -
Counting 3 2 3 2 2160 0.08 - - - -
Linearization_no_atomic 3 2 3 - 2160 0.67 - - 12 60
Unmonitored 3 3 3 - 3512 0.09 - - - -
Counting 3 3 3 2 3512 0.15 - - - -
Linearization_no_atomic 3 3 3 - 3512 2.24 - - 19 120
Unmonitored 3 4 3 - 5368 0.17 - - - -
Counting 3 4 3 2 5368 0.54 - - - -
Linearization_no_atomic 3 4 3 - 5368 5.29 - - 28 210
Unmonitored 3 5 3 - 7688 0.26 - - - -
Counting 3 5 3 2 7688 0.4 - - - -
Linearization_no_atomic 3 5 3 - 7688 11.64 - - 41 336
Unmonitored 3 6 3 - 10532 0.37 - - - -
Counting 3 6 3 2 10532 0.58 - - - -
Linearization_no_atomic 3 6 3 - 10532 22.95 - - 56 504
Unmonitored 3 7 3 - 13992 0.56 - - - -
Counting 3 7 3 2 13992 1.23 - - - -
Linearization_no_atomic 3 7 3 - 13992 47.15 - - 75 720
Unmonitored 3 8 3 - 18132 0.75 - - - -
Counting 3 8 3 2 18132 1.86 - - - -
Linearization_no_atomic 3 8 3 - 18132 85.57 - - 98 990
Unmonitored 3 9 3 - 23016 1.01 - - - -
Counting 3 9 3 2 23016 1.73 - - - -
Linearization_no_atomic 3 9 3 - 23016 160.04 - - 124 1320
Unmonitored 3 10 3 - 28708 1.41 - - - -
Counting 3 10 3 2 28708 2.93 - - - -
Linearization_no_atomic 3 10 3 - 28708 267 - - 155 1716
Unmonitored 4 1 3 - 2513 0.06 - - - -
Counting 4 1 3 2 2513 0.09 - - - -
Linearization_no_atomic 4 1 3 - 2513 0.8 - - 12 60
Unmonitored 4 2 3 - 3933 0.12 - - - -
Counting 4 2 3 2 3933 0.53 - - - -
Linearization_no_atomic 4 2 3 - 3933 2.15 - - 19 120
Unmonitored 4 3 3 - 5875 0.19 - - - -
Counting 4 3 3 2 5875 0.88 - - - -
Linearization_no_atomic 4 3 3 - 5875 5.73 - - 29 210
Unmonitored 4 4 3 - 8343 0.3 - - - -
Counting 4 4 3 2 8343 0.47 - - - -
Linearization_no_atomic 4 4 3 - 8343 12.37 - - 42 336
Unmonitored 4 5 3 - 11471 0.44 - - - -
Counting 4 5 3 2 11471 0.71 - - - -
Linearization_no_atomic 4 5 3 - 11471 25.79 - - 58 504
Unmonitored 4 6 3 - 15191 0.63 - - - -
Counting 4 6 3 2 15191 1.04 - - - -
Linearization_no_atomic 4 6 3 - 15191 50.76 - - 77 720
Unmonitored 4 7 3 - 19579 0.84 - - - -
Counting 4 7 3 2 19579 1.43 - - - -
Linearization_no_atomic 4 7 3 - 19579 92.59 - - 101 990
Unmonitored 4 8 3 - 24727 1.13 - - - -
Counting 4 8 3 2 24727 2.04 - - - -
Linearization_no_atomic 4 8 3 - 24727 176 - - 128 1320
Unmonitored 4 9 3 - 30699 1.47 - - - -
Counting 4 9 3 2 30699 2.66 - - - -
Linearization_no_atomic 4 9 3 - 30699 295.5 - - 160 1716
Unmonitored 4 10 3 - 37559 5.31 - - - -
Counting 4 10 3 2 37559 4.6 - - - -
Linearization_no_atomic 4 10 3 - 37559 447.07 - - 197 2184
Unmonitored 5 1 3 - 4448 0.13 - - - -
Counting 5 1 3 2 4448 0.2 - - - -
Linearization_no_atomic 5 1 3 - 4448 2.52 - - 19 120
Unmonitored 5 2 3 - 6468 0.2 - - - -
Counting 5 2 3 2 6468 0.33 - - - -
Linearization_no_atomic 5 2 3 - 6468 6.35 - - 29 210
Unmonitored 5 3 3 - 9064 0.32 - - - -
Counting 5 3 3 2 9064 0.53 - - - -
Linearization_no_atomic 5 3 3 - 9064 14.51 - - 43 336
Unmonitored 5 4 3 - 12302 0.48 - - - -
Counting 5 4 3 2 12302 0.82 - - - -
Linearization_no_atomic 5 4 3 - 12302 28.61 - - 59 504
Unmonitored 5 5 3 - 16210 0.66 - - - -
Counting 5 5 3 2 16210 1.23 - - - -
Linearization_no_atomic 5 5 3 - 16210 60.06 - - 79 720
Unmonitored 5 6 3 - 20934 0.91 - - - -
Counting 5 6 3 2 20934 4.42 - - - -
Linearization_no_atomic 5 6 3 - 20934 102.97 - - 103 990
Unmonitored 5 7 3 - 26378 1.22 - - - -
Counting 5 7 3 2 26378 3.52 - - - -
Linearization_no_atomic 5 7 3 - 26378 178.79 - - 131 1320
Unmonitored 5 8 3 - 32634 1.73 - - - -
Counting 5 8 3 2 32634 3.12 - - - -
Linearization_no_atomic 5 8 3 - 32634 330.82 - - 165 1716
Unmonitored 5 9 3 - 39794 2.17 - - - -
Counting 5 9 3 2 39794 4.33 - - - -
Linearization_no_atomic 5 9 3 - 39794 521.28 - - 203 2184
Unmonitored 5 10 3 - 47922 2.65 - - - -
Counting 5 10 3 2 47922 5.18 - - - -
Linearization_no_atomic 5 10 3 - 47922 779.15 - - 246 2730
Unmonitored 6 1 3 - 7148 0.23 - - - -
Counting 6 1 3 2 7148 0.41 - - - -
Linearization_no_atomic 6 1 3 - 7148 6.49 - - 28 210
Unmonitored 6 2 3 - 9868 0.36 - - - -
Counting 6 2 3 2 9868 1 - - - -
Linearization_no_atomic 6 2 3 - 9868 14.84 - - 42 336
